AÑO / MES / DÍA ;HORA ;TEMPERATURA (°C) ;PRECIPITACIÓN (mm/hora) ;HUMEDAD (%) ;DIRECCION DEL VIENTO (°) ;VELOCIDAD DEL VIENTO (m/s) 
31/01/2023;14:00;27.0;0.2;48.17;196.6;2.1
31/01/2023;15:00;25.8;0.5;50.98;204.7;2.2
31/01/2023;16:00;24.7;0.2;54.45;188.7;2.0
31/01/2023;17:00;24.5;0.2;56.3;208;1.4
31/01/2023;18:00;23.4;0.2;65.12;202.1;1.0
31/01/2023;19:00;22.6;0.3;68.18;190.9;0.9
31/01/2023;20:00;21.8;0.1;71.67;190.3;1.0
31/01/2023;21:00;21.3;0.1;73.41;191.9;0.7
31/01/2023;22:00;21.7;0.0;70.86;166.6;0.3
31/01/2023;23:00;21.8;0.0;70.33;87.6;0.1
