AÑO / MES / DÍA ;HORA ;TEMPERATURA (°C) ;PRECIPITACIÓN (mm/hora) ;HUMEDAD (%) ;DIRECCION DEL VIENTO (°) ;VELOCIDAD DEL VIENTO (m/s) 
01/02/2023;0:00;21.8;0.0;70.7;155.2;0.3
01/02/2023;1:00;21.6;0.0;71.07;122.2;0.2
01/02/2023;2:00;21.5;0.0;71.83;171.6;0.6
01/02/2023;3:00;21.3;0.0;71.06;175.3;0.5
01/02/2023;4:00;20.6;0.0;72.26;0;0.0
01/02/2023;5:00;20.4;0.0;74.28;0;0.0
01/02/2023;6:00;20.7;0.0;75.83;0;0.0
01/02/2023;7:00;21.4;0.0;70.47;202.6;0.8
01/02/2023;8:00;21.3;0.0;71.13;202.9;0.8
01/02/2023;9:00;22.6;0.0;66.66;195.2;0.5
01/02/2023;10:00;23.6;0.0;57.67;198;1.1
01/02/2023;11:00;24.6;0.0;58.58;195.9;1.6
01/02/2023;12:00;25.8;0.0;51.52;198.6;1.9
01/02/2023;13:00;25.8;0.0;49.95;197.4;2.1
01/02/2023;14:00;27.0;0.0;45.96;207.1;2.4
01/02/2023;15:00;26.9;0.0;47.45;191;2.1
01/02/2023;16:00;26.6;0.0;49.25;205;2.2
01/02/2023;17:00;25.3;0.0;52.55;194.8;1.7
01/02/2023;18:00;24.1;0.0;59.52;203.7;1.5
01/02/2023;19:00;22.9;0.0;64.87;200.8;1.0
01/02/2023;20:00;22.0;0.0;71.51;207;1.0
01/02/2023;21:00;21.9;0.0;72.21;186.7;0.7
01/02/2023;22:00;22.0;0.0;66.8;191.2;0.5
01/02/2023;23:00;22.2;0.0;64.27;229.7;0.4
02/02/2023;0:00;22.2;0.0;66.65;233.2;0.6
02/02/2023;1:00;21.4;0.0;72.55;178.1;0.3
02/02/2023;2:00;21.5;0.0;71.12;170.5;0.3
02/02/2023;3:00;21.1;0.0;75.05;154.3;0.2
02/02/2023;4:00;20.9;0.0;75.76;4.57;0.0
02/02/2023;5:00;20.8;0.0;72.29;43.91;0.1
02/02/2023;6:00;20.5;0.0;75.82;145.2;0.2
02/02/2023;7:00;22.1;0.0;68.53;38.24;0.2
02/02/2023;8:00;23.8;0.0;63.2;221.3;0.7
02/02/2023;9:00;25.5;0.0;55;178.8;1.3
02/02/2023;10:00;26.8;0.0;50.76;215.7;1.5
02/02/2023;11:00;28.0;0.0;47.88;186.9;1.8
02/02/2023;12:00;27.7;0.0;48.06;185.4;2.4
02/02/2023;13:00;27.4;16.3;50.59;199.6;2.5
02/02/2023;14:00;26.8;0.0;52.39;201.1;2.5
02/02/2023;15:00;27.5;0.0;50.51;204.3;2.4
02/02/2023;16:00;26.3;0.0;55.72;201.2;2.3
02/02/2023;17:00;24.7;0.0;60.75;217.2;1.6
02/02/2023;18:00;23.1;0.0;67.78;209.7;1.2
02/02/2023;19:00;22.3;0.0;71.12;212.6;1.7
02/02/2023;20:00;22.4;0.0;69.96;205.2;0.6
02/02/2023;21:00;22.2;0.0;71.94;163.3;0.4
02/02/2023;22:00;21.5;0.0;76.11;162.7;0.8
02/02/2023;23:00;21.4;0.0;76.42;183.7;0.5
03/02/2023;0:00;20.8;0.0;80.7;189.7;0.6
03/02/2023;1:00;20.8;0.0;79.67;95.2;0.2
03/02/2023;2:00;20.4;0.0;83.1;186.3;1.0
03/02/2023;3:00;19.6;0.0;86.6;163.5;0.9
03/02/2023;4:00;19.7;0.0;86.4;153.9;0.3
03/02/2023;5:00;20.1;0.0;83.5;187.8;0.4
03/02/2023;6:00;20.0;0.0;84.9;128.2;0.3
03/02/2023;7:00;20.6;0.0;81.7;186.2;0.4
03/02/2023;8:00;20.7;0.0;81.9;167.4;0.9
03/02/2023;9:00;22.0;0.0;75.56;195.5;1.6
03/02/2023;10:00;24.0;0.0;66.24;192.5;1.8
03/02/2023;11:00;24.3;0.0;65.69;210.3;2.5
03/02/2023;12:00;25.8;0.0;60.19;204.9;2.2
03/02/2023;13:00;26.3;0.0;55.15;198.1;2.1
03/02/2023;14:00;25.9;0.0;57.43;196.4;2.6
03/02/2023;15:00;26.1;0.0;55.99;206.2;2.6
03/02/2023;16:00;23.9;0.0;65.29;206.8;2.2
03/02/2023;17:00;23.3;0.0;67.05;216.7;1.5
03/02/2023;18:00;22.4;0.0;72.27;209.5;1.4
03/02/2023;19:00;21.3;0.0;77.62;214.1;0.9
03/02/2023;20:00;21.2;0.0;78.55;219.2;1.7
03/02/2023;21:00;20.8;0.0;80.2;213.9;1.1
03/02/2023;22:00;20.5;0.0;80.6;179.8;0.6
03/02/2023;23:00;20.4;0.0;81.9;176.4;0.3
04/02/2023;0:00;20.0;0.0;84.9;196;0.9
04/02/2023;1:00;20.0;0.0;85.9;163.5;0.6
04/02/2023;2:00;19.9;0.0;84.7;188.9;0.3
04/02/2023;3:00;20.2;0.0;83.3;180;0.6
04/02/2023;4:00;20.1;0.0;84.6;0;0.0
04/02/2023;5:00;20.8;0.0;80.1;198;0.5
04/02/2023;6:00;20.4;0.0;83.8;187.1;0.9
04/02/2023;7:00;19.6;0.0;88.4;198.6;1.1
04/02/2023;8:00;20.1;0.0;85.9;176.6;1.4
04/02/2023;9:00;20.8;0.0;81.2;202.1;1.5
04/02/2023;10:00;21.5;0.0;80.4;206;1.5
04/02/2023;11:00;21.6;0.0;77.91;196.9;1.5
04/02/2023;12:00;22.3;0.0;75.87;188.8;2.0
04/02/2023;13:00;23.6;0.0;66.94;184.7;1.9
04/02/2023;14:00;24.6;0.0;61.32;207.3;1.8
04/02/2023;15:00;24.3;0.0;64.14;201;1.5
04/02/2023;16:00;23.3;0.0;68.14;183.6;1.5
04/02/2023;17:00;23.0;0.0;70.68;193.8;1.4
04/02/2023;18:00;22.5;0.0;71.32;200.6;1.0
04/02/2023;19:00;22.2;0.0;72.55;185.6;1.0
04/02/2023;20:00;22.1;0.0;72.84;205.9;0.7
04/02/2023;21:00;22.0;0.0;73.32;169.4;0.4
04/02/2023;22:00;22.0;0.0;74.35;174.1;0.2
04/02/2023;23:00;21.8;0.0;74.63;43;0.0
05/02/2023;0:00;22.0;0.0;74.36;199.5;0.9
05/02/2023;1:00;19.8;0.0;87.9;177.3;1.3
05/02/2023;2:00;19.6;0.0;89.8;199.5;0.7
